timestamp_local,timestamp_device,node,state,set,ax,ay,az,gx,gy,gz
1773904393.524126,58506,NODE_A1,REC,1,0.895,0.197,0.460,-34.2,-4.3,1.3
1773904393.551982,58509,NODE_A1,REC,1,0.894,0.204,0.469,-34.2,-1.4,-0.3
1773904393.581604,58534,NODE_A1,REC,1,0.894,0.208,0.461,-32.7,1.6,-1.5
1773904393.582017,58537,NODE_A1,REC,1,0.790,0.140,0.406,-16.8,2.6,-2.4
1773904393.582161,58541,NODE_A1,REC,1,0.795,0.114,0.419,-15.7,1.6,-0.1
1773904393.582319,58566,NODE_A1,REC,1,0.801,0.117,0.432,-12.9,1.5,1.2
1773904393.699367,58569,NODE_A1,REC,1,0.991,0.049,0.351,-14.6,6.2,10.4
1773904393.701345,58573,NODE_A1,REC,1,1.018,0.060,0.382,-16.9,7.1,8.1
1773904393.701435,58598,NODE_A1,REC,1,1.014,0.072,0.425,-19.4,7.0,5.0
1773904393.729416,58777,NODE_A1,REC,1,0.793,0.044,0.386,15.1,17.2,-39.2
1773904393.730834,58800,NODE_A1,REC,1,0.754,0.031,0.372,12.9,16.7,-40.2
1773904393.759851,58804,NODE_A1,REC,1,0.718,0.035,0.394,19.7,38.2,-43.3
1773904393.789512,58806,NODE_A1,REC,1,0.718,0.035,0.394,19.7,38.2,-43.3
1773904393.791182,58830,NODE_A1,REC,1,0.695,0.032,0.398,24.0,43.2,-43.6
1773904393.819155,58834,NODE_A1,REC,1,0.798,0.009,0.508,34.7,52.3,-11.2
1773904393.820668,58837,NODE_A1,REC,1,0.773,-0.002,0.493,45.7,49.2,-9.3
1773904393.850224,58860,NODE_A1,REC,1,0.748,0.009,0.456,53.3,47.9,-7.0
1773904393.910811,58864,NODE_A1,REC,1,0.747,0.029,0.371,30.8,35.1,3.9
1773904393.911393,58866,NODE_A1,REC,1,0.747,0.029,0.371,30.8,35.1,3.9
1773904393.911580,58890,NODE_A1,REC,1,0.753,0.031,0.385,22.0,37.0,2.9
1773904393.912033,58894,NODE_A1,REC,1,0.758,0.050,0.545,-7.9,38.3,-9.2
1773904393.970699,58897,NODE_A1,REC,1,0.759,0.053,0.554,-11.0,35.6,-12.0
1773904393.971121,58921,NODE_A1,REC,1,0.759,0.053,0.554,-11.0,35.6,-12.0
1773904393.972762,58924,NODE_A1,REC,1,0.706,0.026,0.512,-33.0,6.6,-19.2
1773904393.972996,58926,NODE_A1,REC,1,0.706,0.026,0.512,-33.0,6.6,-19.2
1773904394.031151,58950,NODE_A1,REC,1,0.700,-0.006,0.505,-45.5,-5.7,-18.4
1773904394.031897,58954,NODE_A1,REC,1,0.739,-0.059,0.532,-65.7,-1.6,-13.6
1773904394.031950,58957,NODE_A1,REC,1,0.739,-0.071,0.528,-66.6,1.5,-11.1
1773904394.032963,58980,NODE_A1,REC,1,0.739,-0.071,0.528,-66.6,1.5,-11.1
1773904394.059919,58984,NODE_A1,REC,1,0.842,-0.149,0.569,-33.6,46.4,8.7
1773904394.061858,58986,NODE_A1,REC,1,0.842,-0.149,0.569,-33.6,46.4,8.7
1773904394.093198,59010,NODE_A1,REC,1,0.855,-0.132,0.553,-4.2,60.2,12.0
1773904394.093340,59014,NODE_A1,REC,1,0.947,-0.147,0.467,-12.3,54.1,7.3
1773904394.180217,59017,NODE_A1,REC,1,0.959,-0.160,0.473,-19.7,54.9,3.8
1773904394.181535,59040,NODE_A1,REC,1,0.959,-0.160,0.473,-19.7,54.9,3.8
1773904394.181701,59043,NODE_A1,REC,1,0.918,-0.199,0.468,-28.4,56.3,-8.4
1773904394.182440,59249,NODE_A1,REC,1,0.566,-0.005,0.340,-71.4,15.0,-23.5
1773904394.239923,59252,NODE_A1,REC,1,0.965,-0.091,0.765,-190.7,22.3,-19.5
1773904394.240604,59255,NODE_A1,REC,1,1.026,-0.091,0.803,-188.1,28.3,-21.4
1773904394.242897,59278,NODE_A1,REC,1,1.081,-0.082,0.836,-182.4,33.3,-25.0
1773904394.242972,59282,NODE_A1,REC,1,1.019,-0.109,0.897,-135.1,51.8,-76.7
1773904394.299957,59284,NODE_A1,REC,1,1.019,-0.109,0.897,-135.1,51.8,-76.7
1773904394.329337,59309,NODE_A1,REC,1,0.980,-0.116,0.885,-130.4,48.6,-84.1
1773904394.330896,59313,NODE_A1,REC,1,0.755,-0.206,0.961,-3.3,42.8,-145.1
1773904394.330965,59315,NODE_A1,REC,1,0.755,-0.206,0.961,-3.3,42.8,-145.1
1773904394.331955,59339,NODE_A1,REC,1,0.654,-0.024,0.748,52.0,32.9,-126.6
1773904394.360399,59343,NODE_A1,REC,1,0.720,-0.121,0.776,-142.5,7.2,-103.9
1773904394.362194,59346,NODE_A1,REC,1,0.725,-0.128,0.842,-171.8,25.6,-104.4
