timestamp_local,timestamp_device,node,state,set,ax,ay,az,gx,gy,gz
1773907937.666476,269600,NODE_A1,REC,1,0.866,0.050,0.134,-4.8,24.2,-3.0
1773907937.666476,269610,NODE_A1,REC,1,0.861,0.088,0.148,-2.2,31.0,4.8
1773907937.666476,269620,NODE_A1,REC,1,0.925,0.080,0.144,3.9,24.1,15.0
1773907937.696532,269643,NODE_A1,REC,1,1.146,-0.039,0.152,10.0,2.7,6.1
1773907937.696532,269653,NODE_A1,REC,1,1.097,-0.006,0.156,6.3,-5.7,-2.5
1773907937.696532,269663,NODE_A1,REC,1,1.091,0.009,0.169,3.3,-12.6,-8.3
1773907937.755188,269686,NODE_A1,REC,1,0.954,0.053,0.197,5.7,-37.1,-20.7
1773907937.755188,269696,NODE_A1,REC,1,0.930,0.071,0.195,7.9,-36.3,-13.8
1773907937.755188,269706,NODE_A1,REC,1,0.923,0.081,0.192,10.6,-35.5,-9.3
1773907937.784561,269727,NODE_A1,REC,1,0.956,0.072,0.149,22.2,-25.8,2.4
1773907937.784561,269737,NODE_A1,REC,1,0.925,0.065,0.322,19.8,-15.8,2.9
1773907937.784561,269747,NODE_A1,REC,1,0.998,0.033,0.125,32.5,-5.6,4.9
1773907937.814296,269768,NODE_A1,REC,1,0.954,0.015,0.038,31.2,22.5,-3.3
1773907937.814296,269778,NODE_A1,REC,1,0.967,0.023,0.046,23.9,22.2,-1.4
1773907937.814296,269788,NODE_A1,REC,1,0.999,0.043,0.051,17.2,19.4,1.5
1773907937.963656,269810,NODE_A1,REC,1,1.000,0.036,0.146,8.0,-2.9,7.2
1773907937.963656,269820,NODE_A1,REC,1,1.018,0.036,0.160,9.3,-5.0,5.9
1773907937.963656,269830,NODE_A1,REC,1,0.996,0.022,0.130,13.4,-6.1,3.0
1773907937.965093,269851,NODE_A1,REC,1,1.025,-0.011,0.097,5.0,5.6,2.1
1773907937.965093,269861,NODE_A1,REC,1,1.032,-0.017,0.115,-0.7,8.3,-0.1
1773907937.965093,269871,NODE_A1,REC,1,1.009,0.000,0.150,-3.4,9.2,-0.5
1773907937.965188,269893,NODE_A1,REC,1,1.014,0.010,0.154,-5.5,9.1,0.6
1773907937.965188,269903,NODE_A1,REC,1,1.019,0.007,0.138,-4.6,9.3,0.4
1773907937.965188,269913,NODE_A1,REC,1,0.996,0.003,0.101,-5.1,5.0,1.2
1773907937.993446,269934,NODE_A1,REC,1,0.952,0.031,0.111,-7.0,-2.8,1.7
1773907937.993446,269944,NODE_A1,REC,1,0.940,0.036,0.112,-7.5,-2.6,4.0
1773907937.993446,269954,NODE_A1,REC,1,0.926,0.036,0.127,-7.4,2.7,8.3
1773907938.023533,269975,NODE_A1,REC,1,1.013,0.003,0.113,-7.3,16.5,11.9
1773907938.023533,269985,NODE_A1,REC,1,1.012,-0.011,0.080,-8.3,15.6,8.6
1773907938.023533,269995,NODE_A1,REC,1,1.016,-0.007,0.101,-12.3,14.4,7.2
1773907938.053395,270017,NODE_A1,REC,1,0.982,0.016,0.148,-11.9,9.7,3.7
1773907938.053395,270027,NODE_A1,REC,1,0.966,0.024,0.159,-10.0,8.4,5.3
1773907938.053395,270037,NODE_A1,REC,1,0.982,0.006,0.142,-5.2,0.9,6.5
1773907938.113468,270058,NODE_A1,REC,1,0.972,0.008,0.136,0.3,-8.1,7.3
1773907938.113468,270068,NODE_A1,REC,1,0.982,0.000,0.133,-0.2,-7.9,6.4
1773907938.113468,270078,NODE_A1,REC,1,1.009,-0.022,0.130,-1.0,-8.5,7.1
