timestamp_local,timestamp_device,node,state,set,ax,ay,az,gx,gy,gz
1773910399.260660,2731069,NODE_A1,REC,2,0.142,1.071,-0.079,71.5,-31.0,20.1
1773910399.260660,2731079,NODE_A1,REC,2,0.150,1.038,0.042,66.1,-40.4,19.2
1773910399.260660,2731089,NODE_A1,REC,2,0.081,1.063,0.073,68.8,-45.2,14.0
1773910399.293275,2731112,NODE_A1,REC,2,-0.008,0.953,-0.115,51.4,-54.3,2.8
1773910399.293275,2731122,NODE_A1,REC,2,0.065,0.994,-0.072,33.9,-56.1,3.6
1773910399.293275,2731132,NODE_A1,REC,2,0.124,0.993,-0.089,20.3,-51.8,0.0
1773910399.350253,2731154,NODE_A1,REC,2,-0.035,0.845,-0.120,-4.5,-11.7,16.1
1773910399.350253,2731164,NODE_A1,REC,2,0.062,0.933,-0.119,-13.9,4.6,22.7
1773910399.350253,2731174,NODE_A1,REC,2,0.214,1.068,-0.058,-16.7,19.0,23.8
1773910399.380193,2731195,NODE_A1,REC,2,0.272,0.949,-0.135,-14.6,64.6,6.4
1773910399.380193,2731205,NODE_A1,REC,2,0.410,1.532,0.090,-10.6,75.1,-5.0
1773910399.380193,2731215,NODE_A1,REC,2,0.362,1.076,-0.249,14.2,91.2,-12.2
1773910399.410296,2731237,NODE_A1,REC,2,0.346,0.894,-0.300,29.2,46.8,-56.8
1773910399.410296,2731247,NODE_A1,REC,2,0.147,0.879,-0.216,-3.0,17.1,-48.6
1773910399.410296,2731257,NODE_A1,REC,2,0.204,0.959,-0.148,-21.8,5.9,-48.8
1773910399.470226,2731279,NODE_A1,REC,2,0.205,0.980,-0.049,-57.8,-18.3,-60.3
1773910399.470226,2731289,NODE_A1,REC,2,0.179,0.967,-0.017,-58.8,-23.4,-61.0
1773910399.470226,2731299,NODE_A1,REC,2,0.087,0.937,0.022,-36.0,-23.0,-61.7
1773910399.500177,2731320,NODE_A1,REC,2,0.078,0.886,-0.109,-34.5,-20.8,-31.0
1773910399.500177,2731330,NODE_A1,REC,2,0.137,0.891,-0.174,-38.7,-18.0,-20.5
1773910399.500177,2731340,NODE_A1,REC,2,0.159,0.887,-0.246,-43.7,-23.8,-17.2
1773910399.530277,2731362,NODE_A1,REC,2,0.355,1.144,-0.127,-68.2,-47.3,-35.5
1773910399.530277,2731372,NODE_A1,REC,2,0.380,1.159,-0.126,-53.8,-49.4,-49.1
1773910399.530277,2731382,NODE_A1,REC,2,0.391,1.099,-0.187,-33.1,-50.7,-63.4
1773910399.590224,2731403,NODE_A1,REC,2,0.270,0.914,-0.312,-20.3,-73.8,-78.7
1773910399.590224,2731413,NODE_A1,REC,2,0.268,0.933,-0.288,-26.3,-81.4,-69.8
1773910399.590224,2731423,NODE_A1,REC,2,0.266,0.901,-0.199,-26.9,-87.4,-64.1
1773910399.620294,2731444,NODE_A1,REC,2,0.128,0.840,-0.126,-34.9,-79.1,-73.9
1773910399.620294,2731454,NODE_A1,REC,2,0.065,0.816,-0.158,-48.9,-76.9,-68.7
1773910399.620294,2731464,NODE_A1,REC,2,0.082,0.855,-0.072,-90.2,-84.2,-45.6
1773910399.680208,2731486,NODE_A1,REC,2,0.051,0.931,0.038,-100.3,-70.9,-33.2
1773910399.680208,2731496,NODE_A1,REC,2,0.053,0.917,0.055,-86.8,-80.7,-25.7
