timestamp_local,frame,joint,angle_deg,visible,fps
1773909936.195843,446,R_Elbow,80.35,1,26.3
1773909936.233953,447,R_Elbow,79.90,1,26.3
1773909936.273023,448,R_Elbow,79.90,1,26.3
1773909936.311033,449,R_Elbow,79.90,1,26.3
1773909936.348676,450,R_Elbow,79.36,1,26.3
1773909936.387005,451,R_Elbow,76.69,1,26.3
1773909936.424947,452,R_Elbow,79.64,1,26.3
1773909936.462922,453,R_Elbow,74.73,1,26.3
1773909936.500952,454,R_Elbow,75.17,1,26.4
1773909936.538802,455,R_Elbow,75.70,1,26.4
1773909936.576236,456,R_Elbow,77.36,1,26.4
1773909936.614727,457,R_Elbow,82.68,1,26.4
1773909936.652363,458,R_Elbow,76.48,1,26.4
1773909936.689847,459,R_Elbow,72.51,1,26.4
1773909936.728516,460,R_Elbow,76.45,1,26.4
1773909936.767114,461,R_Elbow,77.95,1,26.4
1773909936.806011,462,R_Elbow,77.95,1,26.4
1773909936.844714,463,R_Elbow,78.37,1,26.4
1773909936.884043,464,R_Elbow,79.93,1,26.4
1773909936.921821,465,R_Elbow,80.43,1,26.4
1773909936.960071,466,R_Elbow,87.23,1,26.4
1773909936.998396,467,R_Elbow,82.40,1,26.4
1773909937.037063,468,R_Elbow,86.03,1,26.4
1773909937.075831,469,R_Elbow,88.93,1,26.4
1773909937.114172,470,R_Elbow,86.97,1,26.4
1773909937.152232,471,R_Elbow,139.45,1,26.4
1773909937.190445,472,R_Elbow,117.86,1,26.4
1773909937.228053,473,R_Elbow,92.75,1,26.4
1773909937.266538,474,R_Elbow,86.23,1,26.4
1773909937.304563,475,R_Elbow,86.23,1,26.4
1773909937.343037,476,R_Elbow,86.23,1,26.4
1773909937.381329,477,R_Elbow,84.31,1,26.4
1773909937.419123,478,R_Elbow,81.92,1,26.4
1773909937.457101,479,R_Elbow,79.01,1,26.4
1773909937.495825,480,R_Elbow,76.61,1,26.4
1773909937.534205,481,R_Elbow,76.23,1,26.1
1773909937.572177,482,R_Elbow,75.80,1,26.1
1773909937.609838,483,R_Elbow,77.78,1,26.1
1773909937.648151,484,R_Elbow,74.17,1,26.1
1773909937.685880,485,R_Elbow,73.16,1,26.1
1773909937.724689,486,R_Elbow,71.08,1,26.1
1773909937.762844,487,R_Elbow,72.67,1,26.1
1773909937.800925,488,R_Elbow,70.32,1,26.1
1773909937.838687,489,R_Elbow,70.32,1,26.1
1773909937.876640,490,R_Elbow,70.32,1,26.1
1773909937.914750,491,R_Elbow,72.85,1,26.1
1773909937.952361,492,R_Elbow,71.93,1,26.1
1773909937.990830,493,R_Elbow,70.91,1,26.1
1773909938.029183,494,R_Elbow,71.61,1,26.1
1773909938.067841,495,R_Elbow,74.97,1,26.1
1773909938.104922,496,R_Elbow,75.67,1,26.1
1773909938.143457,497,R_Elbow,73.83,1,26.1
1773909938.181592,498,R_Elbow,72.07,1,26.1
1773909938.219823,499,R_Elbow,73.41,1,26.1
1773909938.257805,500,R_Elbow,73.07,1,26.1
1773909938.296569,501,R_Elbow,73.21,1,26.1
1773909938.334469,502,R_Elbow,67.26,1,26.1
1773909938.372498,503,R_Elbow,67.26,1,26.1
1773909938.410805,504,R_Elbow,67.26,1,26.1
1773909938.449104,505,R_Elbow,56.90,1,26.1
1773909938.487652,506,R_Elbow,56.36,1,26.1
1773909938.525728,507,R_Elbow,52.59,1,26.1
1773909938.563751,508,R_Elbow,56.05,1,26.2
1773909938.601670,509,R_Elbow,52.17,1,26.2
1773909938.639371,510,R_Elbow,51.92,1,26.2
1773909938.677311,511,R_Elbow,49.46,1,26.2
1773909938.715425,512,R_Elbow,51.42,1,26.2
1773909938.753582,513,R_Elbow,50.71,1,26.2
1773909938.791802,514,R_Elbow,54.97,1,26.2
1773909938.830448,515,R_Elbow,54.78,1,26.2
1773909938.868279,516,R_Elbow,54.78,1,26.2
1773909938.906483,517,R_Elbow,54.78,1,26.2
1773909938.944710,518,R_Elbow,62.48,1,26.2
1773909938.982609,519,R_Elbow,70.66,1,26.2
1773909939.020671,520,R_Elbow,77.47,1,26.2
1773909939.058543,521,R_Elbow,80.26,1,26.2
1773909939.097831,522,R_Elbow,85.91,1,26.2
1773909939.135820,523,R_Elbow,94.32,1,26.2
1773909939.174725,524,R_Elbow,97.84,1,26.2
1773909939.212924,525,R_Elbow,107.52,1,26.2
1773909939.251257,526,R_Elbow,122.23,1,26.2
1773909939.289113,527,R_Elbow,120.06,1,26.2
1773909939.326966,528,R_Elbow,125.59,1,26.2
1773909939.365222,529,R_Elbow,132.41,1,26.2
1773909939.403726,530,R_Elbow,132.41,1,26.2
1773909939.442416,531,R_Elbow,132.41,1,26.2
1773909939.480953,532,R_Elbow,125.33,1,26.2
1773909939.518572,533,R_Elbow,137.83,1,26.2
1773909939.556112,534,R_Elbow,130.57,1,26.2
1773909939.594908,535,R_Elbow,131.22,1,26.2
1773909939.633947,536,R_Elbow,137.21,1,26.2
1773909939.671992,537,R_Elbow,138.48,1,26.2
1773909939.711305,538,R_Elbow,145.54,1,26.2
1773909939.749827,539,R_Elbow,147.69,1,26.2
1773909939.787621,540,R_Elbow,153.67,1,26.2
1773909939.825656,541,R_Elbow,170.66,1,26.2
1773909939.863852,542,R_Elbow,145.46,1,26.2
1773909939.901870,543,R_Elbow,151.63,1,26.2
1773909939.939901,544,R_Elbow,151.63,1,26.2
1773909939.978236,545,R_Elbow,151.63,1,26.2
1773909940.016237,546,R_Elbow,149.60,1,26.2
1773909940.053344,547,R_Elbow,149.86,1,26.2
1773909940.090452,548,R_Elbow,158.33,1,26.2
1773909940.129916,549,R_Elbow,158.19,1,26.2
1773909940.167828,550,R_Elbow,165.61,1,26.2
1773909940.205152,551,R_Elbow,166.96,1,26.2
1773909940.243082,552,R_Elbow,166.48,1,26.2
1773909940.282405,553,R_Elbow,169.80,1,26.2
1773909940.319436,554,R_Elbow,168.02,1,26.2
1773909940.356951,555,R_Elbow,166.55,1,26.2
1773909940.395979,556,R_Elbow,168.33,1,26.2
1773909940.434751,557,R_Elbow,170.22,1,26.2
1773909940.472587,558,R_Elbow,170.22,1,26.2
1773909940.509768,559,R_Elbow,172.57,1,26.2
1773909940.548212,560,R_Elbow,168.67,1,26.2
1773909940.586251,561,R_Elbow,168.85,1,26.2
1773909940.624183,562,R_Elbow,169.24,1,26.2
1773909940.661928,563,R_Elbow,169.72,1,26.2
1773909940.700511,564,R_Elbow,167.58,1,26.2
1773909940.738529,565,R_Elbow,163.51,1,26.2
1773909940.776619,566,R_Elbow,166.81,1,26.2
1773909940.814736,567,R_Elbow,162.27,1,26.2
1773909940.852886,568,R_Elbow,165.12,1,26.2
1773909940.890519,569,R_Elbow,160.33,1,26.2
1773909940.929563,570,R_Elbow,164.89,1,26.2
1773909940.966627,571,R_Elbow,164.89,1,26.2
1773909941.004611,572,R_Elbow,164.89,1,26.2
1773909941.044485,573,R_Elbow,168.49,1,26.2
1773909941.082415,574,R_Elbow,167.19,1,26.2
1773909941.119846,575,R_Elbow,168.36,1,26.2
1773909941.157894,576,R_Elbow,167.78,1,26.2
1773909941.197898,577,R_Elbow,165.56,1,26.2
1773909941.235636,578,R_Elbow,167.29,1,26.2
1773909941.273886,579,R_Elbow,157.20,1,26.2
1773909941.312347,580,R_Elbow,165.72,1,26.2
1773909941.350961,581,R_Elbow,163.15,1,26.2
1773909941.388932,582,R_Elbow,163.26,1,26.2
1773909941.427666,583,R_Elbow,157.32,1,26.2
1773909941.465826,584,R_Elbow,152.90,1,26.2
1773909941.503942,585,R_Elbow,152.90,1,26.2
1773909941.541245,586,R_Elbow,152.90,1,26.2
1773909941.580549,587,R_Elbow,140.47,1,26.2
1773909941.618829,588,R_Elbow,131.22,1,26.2
1773909941.657277,589,R_Elbow,125.78,1,26.1
1773909941.694867,590,R_Elbow,120.68,1,26.1
1773909941.732329,591,R_Elbow,117.66,1,26.1
1773909941.770580,592,R_Elbow,114.80,1,26.1
1773909941.809559,593,R_Elbow,114.24,1,26.1
1773909941.847484,594,R_Elbow,106.02,1,26.1
1773909941.885577,595,R_Elbow,100.15,1,26.1
1773909941.924244,596,R_Elbow,99.77,1,26.1
1773909941.962211,597,R_Elbow,95.07,1,26.1
1773909942.000482,598,R_Elbow,91.18,1,26.1
1773909942.039008,599,R_Elbow,91.18,1,26.1
1773909942.077615,600,R_Elbow,91.18,1,26.1
1773909942.116269,601,R_Elbow,86.25,1,26.1
1773909942.153917,602,R_Elbow,77.90,1,26.1
1773909942.191918,603,R_Elbow,76.30,1,26.1
1773909942.230210,604,R_Elbow,68.22,1,26.1
1773909942.267935,605,R_Elbow,61.18,1,26.1
1773909942.305595,606,R_Elbow,60.87,1,26.1
1773909942.344883,607,R_Elbow,58.06,1,26.1
1773909942.382608,608,R_Elbow,51.65,1,26.1
1773909942.420404,609,R_Elbow,54.75,1,26.1
